Column1;Column2
ParentSerialNumber;ChildSerialNumber
SN-32CE41-KY;SN-20FDC4-97
SN-FF416A-37;SN-0BEE76-27
SN-A63CF1-X7;SN-B253F0-37
SN-9A45A3-27;SN-5A5FEE-V7
SN-E8D8C0-V7;SN-FF5046-V7
SN-3FFC42-X7;SN-3C1FB4-J7
SN-0EA64A-V7;SN-E93DF1-WY
SN-8B5B1A-LY;SN-198BCA-KY
SN-918A06-V7;SN-CE32FF-27
SN-AF5569-X7;SN-78864B-97
SN-EC1CBF-VY;SN-11A17E-WY
SN-976EF9-9Y;SN-8E5500-8Y
SN-0EAB4B-WY;SN-E1CE62-9Y
SN-BBDA61-9Y;SN-D3030E-V7
SN-A12853-EY;SN-184128-EY
SN-B0C305-97;SN-6C7AFD-J7
SN-8D565B-87;SN-0E4CD9-K7
SN-38771A-JY;SN-741313-9Y
SN-33DA8E-WY;SN-254A81-LY
SN-989094-17;SN-17D163-XY
SN-911A1E-V7;SN-ECA5BB-E7
SN-911A1E-V7;SN-2601BD-97
SN-AD7B40-2Y;SN-D4D959-17
SN-AEFB10-XY;SN-1F8AF2-2Y
SN-A7F140-X7;SN-03FB32-X7
SN-C250E5-WY;SN-EE323D-J7
SN-77D616-VY;SN-35BC13-87
SN-365EC3-W7;SN-A4E54F-W7
SN-3439FA-V7;SN-22A459-2Y
SN-24A17E-J7;SN-94AC5C-2Y
SN-2B5763-EY;SN-53F72D-3Y
SN-3DD003-J7;SN-7BADED-J7
SN-66EFDC-97;SN-60DD4D-VY
SN-DA5681-87;SN-84FAB8-9Y
SN-CD9DC6-2Y;SN-DB26AC-EY
SN-B89EC0-K7;SN-2E80E9-J7
SN-98A978-3Y;SN-6D677A-VY
SN-772B03-3Y;SN-F15A13-3Y
SN-77E10E-X7;SN-86A444-X7
SN-CF002D-L7;SN-A9BC9E-17
SN-F02F18-2Y;SN-29CD84-L7
SN-DA48A0-XY;SN-1D8E70-XY
SN-065FEB-XY;SN-55D92B-K7
SN-4156EE-17;SN-A12834-XY
SN-F4F642-97;SN-E03C72-EY
SN-DD9D63-J7;SN-689C55-J7
SN-D1B415-VY;SN-FEEA4F-K7
SN-EDE113-97;SN-64E83B-VY
SN-3F2267-K7;SN-8A6D14-3Y
SN-EBC641-XY;SN-CB165F-W7
SN-326980-W7;SN-69A77F-VY
SN-EE7092-EY;SN-AD2CEF-17
SN-084192-J7;SN-A0475E-2Y
SN-35AC50-87;SN-B03D36-X7
SN-C0A20F-3Y;SN-79FE8A-97
SN-B19711-3Y;SN-C7C539-J7
SN-1EB152-L7;SN-75DA4B-3Y
SN-8EC0C8-XY;SN-595709-17
SN-73A04F-97;SN-A93076-L7
SN-05CAC6-V7;SN-1B8292-X7
SN-AFA990-2Y;SN-E01923-97
SN-D3F6A2-X7;SN-4AA0F7-3Y
SN-1A8400-2Y;SN-40CF53-XY
SN-BEB3B6-17;SN-601854-2Y
SN-3D3CD1-VY;SN-AFB8C7-17
