SerialNumber,MonthBucket,TotalEInHeating,TotalEOutHeating
SN-E3242B-J7,2024-01-01 00:00:00+00,794.4900033896,5250.962760416999
SN-6C1FBC-VY,2023-12-01 00:00:00+00,0.35713498377899994,3.055806932634
SN-389CFA-KY,2023-12-01 00:00:00+00,291.25070476179997,2809.8501743484
SN-389CFA-KY,2024-01-01 00:00:00+00,617.8028541279,4991.684697002999
SN-F1D619-W7,2023-12-01 00:00:00+00,333.5294647622,3490.271978052
SN-F1D619-W7,2024-01-01 00:00:00+00,546.2026193407,4767.7580930369995
SN-C86898-J7,2023-12-01 00:00:00+00,400.92867387859997,3366.5967851339997
SN-C86898-J7,2024-01-01 00:00:00+00,625.2976798411,4563.498262755
SN-2FDF64-27,2023-12-01 00:00:00+00,214.81673218389997,2308.0921752425998
SN-2FDF64-27,2024-01-01 00:00:00+00,452.0188156589,3836.915601552
SN-2CF8E4-V7,2023-12-01 00:00:00+00,208.38953920889998,2258.3759557851
SN-2CF8E4-V7,2024-01-01 00:00:00+00,430.2149172447,3650.5288178939995
SN-8994B3-VY,2024-01-01 00:00:00+00,1539.437751747,9990.987166968
SN-C70E3F-KY,2023-12-01 00:00:00+00,381.58896433279995,3152.510437911
SN-C70E3F-KY,2024-01-01 00:00:00+00,678.6947768832,5107.357503206999
SN-FDE635-W7,2023-12-01 00:00:00+00,311.2930189047,2930.6859739284
SN-FDE635-W7,2024-01-01 00:00:00+00,418.3748198721,3890.277493056
SN-F6239B-3Y,2024-01-01 00:00:00+00,0.5164114220930001,4.139929201317
SN-F92F64-27,2024-01-01 00:00:00+00,0.580471548314,4.731746153816999
SN-5F6FA5-W7,2023-12-01 00:00:00+00,868.8010213197,6375.396223488
SN-5F6FA5-W7,2024-01-01 00:00:00+00,940.6200378399999,6087.092287064999
SN-CC86E6-2Y,2023-12-01 00:00:00+00,0.19803644,3.140157024732
SN-CC86E6-2Y,2024-01-01 00:00:00+00,810.8334944646999,4630.787860482
SN-74F6EE-W7,2023-12-01 00:00:00+00,285.57361183819995,2300.8117823949
SN-74F6EE-W7,2024-01-01 00:00:00+00,455.90890032029995,3405.5982044159996
SN-CC72A9-3Y,2024-01-01 00:00:00+00,0.578818125872,5.002044605268
SN-9CBFA4-27,2023-12-01 00:00:00+00,39.83427903343,522.6135290666999
SN-9CBFA4-27,2024-01-01 00:00:00+00,181.8475689639,2169.6882465891
SN-ECF3EC-VY,2024-01-01 00:00:00+00,0.648560130407,5.590064179865999
SN-585A09-VY,2023-12-01 00:00:00+00,596.8807330177999,4743.726040125
SN-585A09-VY,2024-01-01 00:00:00+00,818.9225245586,6156.558859805999
SN-1C9D15-X7,2023-12-01 00:00:00+00,512.9817466179001,4281.563684394
