CommissionedAt;State;BoilerType;DhwType;Model;Broken;SerialNumber
20/02/2025 15:19;3;2;2;3;0;SN-AD5242-2Y
28/01/2025 19:36;3;3;2;3;0;SN-A0EDE5-2Y
17/02/2025 08:44;3;3;2;3;0;SN-4B02BC-2Y
12/03/2025 10:58;3;3;2;3;0;SN-D57F1E-2Y
20/11/2024 09:11;5;2;1;3;1;SN-E88D3E-27
24/03/2025 14:48;3;1;1;3;0;SN-3B8B76-27
23/12/2024 15:45;3;1;1;3;0;SN-ED6AB0-27
21/11/2024 15:20;3;1;1;3;0;SN-03357C-27
17/10/2024 16:08;3;1;1;3;0;SN-8A71C5-27
13/12/2024 14:59;3;1;1;3;0;SN-F1A359-27
;2;0;0;3;0;SN-10B622-27
;2;0;0;3;0;SN-5396A9-27
22/11/2024 09:59;3;1;1;3;0;SN-27C11F-9Y
04/10/2024 15:53;3;3;2;3;0;SN-04631F-9Y
30/01/2025 15:39;3;1;1;3;0;SN-438709-9Y
28/01/2025 14:55;3;3;2;3;0;SN-A7E651-9Y
20/01/2025 09:33;3;1;1;3;0;SN-29DF59-97
05/01/2025 10:49;3;1;2;3;0;SN-335592-97
22/03/2025 11:40;3;2;2;3;0;SN-20CECD-97
01/04/2025 20:23;3;3;2;3;0;SN-558D62-9Y
06/03/2025 10:26;3;3;2;3;0;SN-344B81-9Y
15/08/2024 16:00;3;1;2;3;0;SN-11EA1E-9Y
07/10/2024 15:15;3;2;2;3;0;SN-B25F33-9Y
16/01/2025 15:21;3;1;1;3;0;SN-770BF9-9Y
26/02/2025 16:56;3;1;1;3;0;SN-DFB4E1-9Y
07/02/2025 14:34;3;2;2;3;0;SN-5ADF9E-X7
09/01/2025 17:57;3;2;2;3;0;SN-0CE113-X7
31/01/2025 09:43;3;1;1;3;0;SN-35AE72-X7
04/01/2025 14:18;3;1;1;3;0;SN-C8332B-XY
18/11/2024 15:35;3;3;2;3;0;SN-EC0FBC-XY
29/11/2024 18:50;3;1;2;3;0;SN-2CF4F8-X7
22/12/2024 10:18;3;2;2;3;0;SN-E0A365-X7
26/02/2025 23:10;3;1;2;3;0;SN-EA1133-X7
14/02/2025 20:20;3;1;1;3;0;SN-8B5603-X7
27/01/2025 12:03;3;1;1;3;0;SN-79737D-X7
21/12/2024 22:59;3;1;2;3;0;SN-EBA18F-X7
12/01/2025 00:59;3;1;2;3;0;SN-C6D925-X7
13/03/2025 21:05;3;3;2;3;0;SN-C2B0C8-XY
17/03/2025 17:48;3;2;2;3;0;SN-E2A925-XY
18/12/2024 12:02;3;1;1;3;0;SN-F4D4AD-37
07/01/2025 14:20;3;1;1;3;0;SN-B34C47-37
;2;0;0;3;0;SN-BE69CC-3Y
;2;0;0;3;0;SN-F57068-3Y
10/03/2025 13:40;3;1;1;3;0;SN-ADC702-3Y
;2;0;0;3;0;SN-E70FE2-17
27/02/2025 16:22;3;1;1;3;0;SN-C98B33-17
05/04/2025 22:14;3;1;1;3;0;SN-B44806-1Y
;2;0;0;3;0;SN-E135F0-17
24/10/2024 15:29;3;2;2;3;0;SN-97A3D2-17
07/10/2024 17:45;5;2;2;3;1;SN-5B50BD-17
;2;0;0;3;0;SN-A33028-17
;2;0;0;3;0;SN-90F460-17
20/03/2025 21:21;3;1;1;3;0;SN-021EDB-17
;2;0;0;3;0;SN-BEBCB6-17
17/12/2024 12:08;3;2;2;3;0;SN-52FCC3-1Y
10/01/2025 14:52;3;3;2;3;0;SN-872EEC-1Y
04/12/2024 15:51;3;1;1;3;0;SN-6A3BB8-1Y
;2;0;0;3;0;SN-995B7B-1Y
26/11/2024 14:35;3;3;2;3;0;SN-5179D4-1Y
21/12/2024 23:00;3;3;2;3;0;SN-28236A-1Y
09/01/2025 10:24;3;3;2;3;0;SN-1F5960-1Y
31/03/2025 10:25;3;2;2;3;0;SN-758A78-1Y
24/03/2025 11:28;3;1;2;3;0;SN-31A2D4-1Y
04/02/2025 16:20;3;1;2;3;0;SN-6CE4DB-1Y
05/11/2024 22:19;3;1;1;3;0;SN-80D2F3-87
20/12/2024 10:47;3;1;1;3;0;SN-C683C8-87
20/11/2024 15:33;3;3;2;3;0;SN-8376E2-87
05/11/2024 16:44;3;2;2;3;0;SN-A7C056-87
28/11/2024 16:07;3;3;2;3;1;SN-2211F2-87
28/02/2025 12:29;3;1;1;3;0;SN-4A1358-87
27/03/2025 18:15;3;2;2;3;0;SN-2988F2-8Y
19/02/2025 14:30;3;2;2;3;0;SN-92D2BC-8Y
;2;0;0;3;0;SN-43B012-87
31/03/2025 15:05;3;1;2;3;0;SN-7F76E0-8Y
;2;0;0;3;0;SN-2B2609-8Y
17/03/2025 18:47;3;1;1;3;0;SN-CCA546-87
11/01/2025 00:51;3;3;2;3;0;SN-9E74CD-XY
15/01/2025 10:10;3;1;2;3;0;SN-27DEA4-XY
