Operation,Model,Count,<3s,<5s,>mean+2std,>mean+4std,Mean,Std,Max
Assembly,1.0,734,9,20,12,12,6475.63,44725.09,503636.0
ST,1.0,640,90,90,13,6,40.44,160.91,2486.0
Packing,1.0,551,538,545,6,6,0.9,2.71,36.0
FT,0.0,972,410,410,6,5,1686.18,4029.59,55801.0
FI,1.0,501,39,39,14,5,57.02,82.2,905.0
ST,3.0,172,23,23,5,4,20.44,35.43,333.0
Packing,0.0,460,439,447,5,4,1.28,4.12,55.0
Brazing,1.0,156,31,59,4,4,427.58,2424.02,17534.0
Grounding safety test,1.0,85,35,49,4,3,337.99,1041.98,5909.0
ST01,1.0,176,20,20,7,3,31.99,20.49,154.0
PROP,0.0,634,81,85,3,3,1624.33,3865.52,56931.0
FI,0.0,461,51,51,6,2,104.16,234.4,4565.0
MAI,1.0,171,15,15,3,2,225.96,301.98,3080.0
Final Assembly,1.0,156,153,153,3,2,1.49,8.5,94.0
Assembly,0.0,609,8,8,15,2,12193.98,60174.64,1111389.0
Assembly,2.0,46,2,2,2,2,3327.48,15701.84,84008.0
Assembly,3.0,197,1,2,3,2,3429.89,26922.69,278312.0
Bottom Preparation,1.0,156,145,154,3,2,1.13,1.06,9.0
Bottom Assembly,1.0,156,131,148,2,2,12.85,93.18,948.0
Brazing,3.0,33,5,7,1,1,33.52,40.28,206.0
MAI,0.0,590,35,35,3,1,486.97,2198.76,52368.0
ST02,3.0,40,7,7,1,1,73.5,355.86,2263.0
ST02,1.0,190,34,34,1,1,39.87,309.89,4278.0
ST,2.0,39,3,3,2,1,32.18,62.68,369.0
Assembly Merge,1.0,157,9,33,2,1,60.47,491.41,6037.0
ST,0.0,847,290,291,2,1,135.73,1873.02,53986.0
Packing,3.0,104,101,101,1,1,5.43,41.19,414.0
PROP,3.0,34,1,1,1,1,1571.38,643.05,4235.0
MAI,3.0,38,5,5,1,1,231.58,282.32,1623.0
Bottom Assembly,3.0,33,30,30,1,1,2036.45,11458.82,65861.0
FI,3.0,103,10,10,2,1,58.85,130.08,1250.0
Final Assembly,3.0,33,32,32,1,1,1.94,6.85,40.0
LT,1.0,182,26,26,1,0,219.05,95.54,582.0
Final Assembly,2.0,3,3,3,0,0,1.33,1.15,2.0
Bottom Preparation,3.0,33,29,32,1,0,1.33,1.05,5.0
ST02,2.0,4,1,1,0,0,16.25,11.32,26.0
FI,2.0,26,4,4,2,0,52.73,55.95,204.0
ST01,3.0,34,1,1,2,0,33.94,12.91,68.0
ST01,2.0,4,1,1,0,0,25.75,17.5,39.0
Bottom Preparation,2.0,3,3,3,0,0,0.67,0.58,1.0
FT,1.0,259,103,103,7,0,997.35,981.53,4716.0
FT,2.0,4,1,1,0,0,2011.75,1815.26,4265.0
FT,3.0,55,23,23,2,0,965.76,976.86,3870.0
Packing,2.0,25,25,25,1,0,0.72,0.54,2.0
LT,2.0,3,0,0,0,0,247.67,10.02,259.0
Assembly Merge,2.0,3,0,0,0,0,11.33,5.51,15.0
Assembly Merge,3.0,34,0,5,3,0,143.18,347.0,1216.0
PROP,2.0,3,0,0,0,0,1208.67,160.7,1394.0
PROP,1.0,164,8,8,11,0,1497.85,693.33,3793.0
Brazing,2.0,3,0,1,0,0,11.33,12.74,26.0
MAI,2.0,3,0,0,0,0,317.0,364.74,731.0
Bottom Assembly,2.0,3,3,3,0,0,1.33,0.58,2.0
Grounding safety test,3.0,12,5,7,1,0,424.5,814.97,2485.0
LT,3.0,36,3,3,0,0,228.92,71.17,294.0
Top Preparation,1.0,5,0,0,0,0,10.4,2.79,15.0
