ProcessPlan,OperationID,OperationName
PP-BEA74A-00,2,ASSY
PP-BEA74A-00,5,GBT
PP-BEA74A-00,10,PACK
PP-91DD9D-01,10,Brazing & Assembly
PP-91DD9D-01,15,MAI
PP-91DD9D-01,20,ST
PP-91DD9D-01,30,PROP
PP-91DD9D-01,40,FT
PP-1FFCF0-00,2,Assembly
PP-1FFCF0-00,5,Grounding safety test
PP-1FFCF0-00,10,Packing
PP-C933CA-00,10,Brazing & Assembly
PP-C933CA-00,15,MAI
PP-C933CA-00,20,ST
PP-C933CA-00,30,PROP
PP-C933CA-00,40,FT
PP-255FB3-01,2,Assembly
PP-255FB3-01,5,Grounding safety test
PP-255FB3-01,10,Packing
PP-E5AA06-00,2,Assembly
PP-E5AA06-00,5,Grounding safety test
PP-E5AA06-00,10,Packing
PP-91B53F-00,2,Assembly
PP-91B53F-00,5,Grounding safety test
PP-91B53F-00,10,Packing
PP-9372AD-00,2,Assembly
PP-9372AD-00,5,Grounding safety test
PP-9372AD-00,10,Packing
PP-D9B19C-01,2,Assembly
PP-D9B19C-01,5,ST
PP-D9B19C-01,10,Packing
PP-C2D18C-02,2,Assembly
PP-C2D18C-02,5,ST
PP-C2D18C-02,10,Packing
PP-9E85F6-02,2,Assembly
PP-9E85F6-02,5,ST
PP-9E85F6-02,10,Packing
PP-8937CF-01,10,Brazing & Assembly
PP-8937CF-01,15,MAI
PP-8937CF-01,20,ST
PP-8937CF-01,30,PROP
PP-8937CF-01,40,FT
PP-33C2D4-03,2,Assembly
PP-33C2D4-03,5,ST
PP-33C2D4-03,10,Packing
PP-76998C-01,10,Assembly
PP-76998C-01,20,ST
PP-76998C-01,30,PROP
PP-76998C-01,40,FT
PP-76998C-01,50,Packaging
PP-F32818-03,10,Assembly
PP-F32818-03,20,FT
PP-3FD290-03,2,Assembly
PP-3FD290-03,5,ST
PP-3FD290-03,10,Packing
PP-7EF7F8-04,2,Assembly
PP-7EF7F8-04,5,ST
PP-7EF7F8-04,10,Packing
PP-F88E1D-04,2,Assembly
PP-F88E1D-04,5,ST
PP-F88E1D-04,10,Packing
PP-88F2D6-03,10,Assembly
PP-88F2D6-03,20,ST
PP-88F2D6-03,30,PROP
PP-88F2D6-03,40,FT
PP-88F2D6-03,50,Packing
PP-9A6F8C-00,10,Brazing & Assembly
PP-9A6F8C-00,15,MAI
PP-9A6F8C-00,20,ST
PP-9A6F8C-00,30,PROP
PP-9A6F8C-00,40,FT
PP-A78D73-01,2,Assembly
PP-A78D73-01,5,ST
PP-A78D73-01,7,FI
PP-A78D73-01,10,Packing
PP-365FA3-01,2,Assembly
PP-365FA3-01,5,ST
PP-365FA3-01,7,FI
PP-365FA3-01,10,Packing
PP-E79351-01,2,Assembly
PP-E79351-01,5,ST
PP-E79351-01,7,FI
PP-E79351-01,10,Packing
PP-6BB75D-02,2,Assembly
PP-6BB75D-02,5,ST
PP-6BB75D-02,7,FI
PP-6BB75D-02,10,Packing
PP-E88023-04,2,Assembly
PP-E88023-04,5,MAI
PP-E88023-04,10,ST
PP-E88023-04,20,PROP
PP-E88023-04,30,FT
