Model,Target_Broken,has_mes_data,total_duration,total_operations,avg_operation_duration,num_outliers_total,num_outliers_iqr,num_outliers_8h,num_short_duration,unique_outlier_types,num_unique_operations,num_switches_workcenter,pct_outliers_total,total_process_timespan_seconds,has_assembly,has_test,total_process_duration,has_impossible_timing,was_produced_outside_shift_hours,MissingOperations,TotalRepeatedExecutions,DistinctOperationsRepeated,Assembly,MAI,ST,PROP,FT,FI,Packing,Brazing,LT,Bottom Preparation,Bottom Assembly,Assembly Merge,ST01,ST02,Final Assembly,Grounding safety test,Top Preparation,has_test_measurements,NumberOfFailedTests,CoolingCompressorPressureOutInDelta,GroundContinuityPowerPanel,HeatingWaterTempOutInDeltaTestSystemCalori,CoolingAirTempInOutDelta,VoltageWithstandAc,GroundContinuityFanCover,AirTempInOutDelta,GroundContinuityFanTopCover,GroundContinuityFan,GroundContinuityEvaporator,HeatingAmbientHumidity,HeatingTransientTempIn,CompressorTempInAbsolute,Vacuum not reached to soon,HeatingAmbientTemperature,CoolingWaterTempOutInDelta,InitAmbientTemperature,DeInitAmbientTemperature,TestSystemPowerConsumed,TestSystemPowerCreated,StartWaterTempInTestSystem,StartWaterTempOutTestSystem,DuctCOP,CompressorPressureInAbsolute,OpPlannedTotalQuantity,OpTotalConfirmedYieldQty,OpTotalConfirmedScrapQty,CommissionedMonthIndex,BoilerType_0,BoilerType_1,BoilerType_2,BoilerType_3,DhwType_0,DhwType_1,DhwType_2,first_op_is_assembly,last_op_is_packing,dominant_op_is_assembly
0,0,1,6877.0,7.0,982.4285714285714,7.0,1.0,0.0,1.0,2.0,7.0,4.0,1.0,72881.0,1.0,1.0,6877.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,31.0,,,1.0,,0.0,,,,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0,,,0.0,0.0,,,315.0,312.0,0.0,14,0,1,0,0,0,1,0,1,1,1
0,0,1,5989.0,8.0,748.625,8.0,0.0,0.0,2.0,2.0,7.0,4.0,1.0,92632.0,1.0,1.0,5989.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,32.0,,,1.0,,0.0,,,,0.0,1.0,0.0,0.0,,,1.0,,1.0,1.0,,,0.0,0.0,,,432.0,432.0,0.0,13,0,1,0,0,0,1,0,1,1,0
3,0,1,76.0,4.0,19.0,4.0,0.0,0.0,1.0,1.0,4.0,2.0,1.0,832.0,1.0,1.0,76.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,60.0,60.0,0.0,13,0,0,1,0,0,0,1,1,1,1
3,0,1,28.0,4.0,7.0,4.0,0.0,0.0,2.0,1.0,4.0,2.0,1.0,500922.0,1.0,1.0,28.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,60.0,60.0,0.0,12,0,0,0,1,0,0,1,1,1,1
3,0,1,62.0,4.0,15.5,4.0,0.0,0.0,1.0,1.0,4.0,2.0,1.0,600186.0,1.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,60.0,60.0,0.0,13,0,0,0,1,0,0,1,1,1,1
3,0,1,839.0,4.0,209.75,4.0,1.0,0.0,1.0,2.0,4.0,2.0,1.0,804495.0,1.0,1.0,839.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,60.0,60.0,0.0,14,0,0,0,1,0,0,1,1,1,1
0,0,1,5266.0,19.0,277.1578947368421,19.0,1.0,0.0,13.0,3.0,7.0,4.0,1.0,286832.0,1.0,1.0,5266.0,1.0,1.0,0.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,128.0,,,1.0,,0.0,,,,0.0,0.0,0.0,1.0,,,1.0,,1.0,1.0,,,0.0,0.0,,,855.0,855.0,0.0,13,0,0,1,0,0,0,1,1,1,0
1,0,1,108.0,5.0,21.6,5.0,0.0,0.0,2.0,2.0,4.0,3.0,1.0,1288.0,1.0,1.0,108.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,200.0,200.0,0.0,13,0,1,0,0,0,0,1,1,1,0
1,0,1,49.0,4.0,12.25,4.0,0.0,0.0,1.0,1.0,4.0,3.0,1.0,147740.0,1.0,1.0,49.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,160.0,160.0,0.0,14,0,0,0,1,0,0,1,1,1,1
0,0,1,235343.0,13.0,18103.30769230769,13.0,1.0,1.0,7.0,3.0,7.0,4.0,1.0,181472.0,1.0,1.0,235343.0,1.0,0.0,0.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.0,,,1.0,,0.0,,,,0.0,0.0,1.0,0.0,,,1.0,,1.0,1.0,,,0.0,0.0,,,585.0,585.0,0.0,14,0,1,0,0,0,1,0,1,1,0
