CommissionedAt,BoilerType,DhwType,Model,SerialNumber,CommissionedMonth,Target_Broken,has_mes_data,total_operations,avg_operation_duration,num_outliers_total,num_outliers_iqr,num_outliers_8h,num_short_duration,unique_outlier_types,num_unique_operations,num_switches_workcenter,pct_outliers_total,first_operation_type,last_operation_type,total_process_timespan_seconds,dominant_operation_type,has_assembly,has_test,total_process_duration,has_impossible_timing,was_produced_outside_shift_hours,MissingOperations,TotalRepeatedExecutions,DistinctOperationsRepeated,Assembly,MAI,ST,PROP,FT,FI,Packing,Brazing,LT,Bottom Preparation,Bottom Assembly,Assembly Merge,ST01,ST02,Final Assembly,Grounding safety test,Top Preparation,NumChildren,NumParents,has_test_measurements,NumberOfFailedTests,CoolingCompressorPressureOutInDelta,GroundContinuityPowerPanel,HeatingWaterTempOutInDeltaTestSystemCalori,CoolingAirTempInOutDelta,VoltageWithstandAc,GroundContinuityFanCover,AirTempInOutDelta,GroundContinuityFanTopCover,GroundContinuityFan,GroundContinuityEvaporator,HeatingAmbientHumidity,HeatingTransientTempIn,CompressorTempInAbsolute,Vacuum not reached to soon,HeatingAmbientTemperature,CoolingWaterTempOutInDelta,InitAmbientTemperature,DeInitAmbientTemperature,TestSystemPowerConsumed,TestSystemPowerCreated,StartWaterTempInTestSystem,StartWaterTempOutTestSystem,DuctCOP,CompressorPressureInAbsolute,NumberOfRepeatedTests,NumberOfMarginTests,OpPlannedTotalQuantity,OpTotalConfirmedYieldQty,OpTotalConfirmedScrapQty
Unknown,0,0,1,SN-37F570-2Y,Unknown,0,1,4.0,135.0,4.0,1.0,0.0,1.0,2.0,4.0,3.0,1.0,Assembly,Packing,910.0,Assembly,1.0,1.0,540.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,160.0,160.0,0.0
2025-03-14 14:02:55.082635+00:00,1,1,0,SN-2DD582-2Y,2025-03,0,1,7.0,982.4285714285714,7.0,1.0,0.0,1.0,2.0,7.0,4.0,1.0,Assembly,Packing,72881.0,Assembly,1.0,1.0,6877.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,31.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0,4,315.0,312.0,0.0
Unknown,0,0,1,SN-9726A6-2Y,Unknown,0,1,4.0,9.75,4.0,0.0,0.0,1.0,1.0,4.0,3.0,1.0,Assembly,Packing,306.0,Assembly,1.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1,160.0,160.0,0.0
Unknown,0,0,0,SN-FDBC21-2Y,Unknown,0,1,8.0,10114.625,8.0,1.0,1.0,2.0,3.0,7.0,4.0,1.0,Assembly,Packing,86839.0,FT,1.0,1.0,80917.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,33.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2,4,360.0,356.0,0.0
2025-02-12 09:14:30.098893+00:00,1,1,0,SN-073DF9-2Y,2025-02,0,1,8.0,748.625,8.0,0.0,0.0,2.0,2.0,7.0,4.0,1.0,Assembly,Packing,92632.0,ST,1.0,1.0,5989.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,32.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,1,4,432.0,432.0,0.0
2025-02-20 14:19:14.500859+00:00,2,2,3,SN-AD5242-2Y,2025-02,0,1,4.0,19.0,4.0,0.0,0.0,1.0,1.0,4.0,2.0,1.0,Assembly,Packing,832.0,Assembly,1.0,1.0,76.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,60.0,60.0,0.0
Unknown,0,0,1,SN-706BE4-2Y,Unknown,0,1,4.0,24.25,4.0,0.0,0.0,1.0,1.0,4.0,3.0,1.0,Assembly,Packing,207.0,Assembly,1.0,1.0,97.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,156.0,160.0,0.0
2025-01-28 18:36:02.688369+00:00,3,2,3,SN-A0EDE5-2Y,2025-01,0,1,4.0,7.0,4.0,0.0,0.0,2.0,1.0,4.0,2.0,1.0,Assembly,Packing,500922.0,Assembly,1.0,1.0,28.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,60.0,60.0,0.0
2025-02-17 07:44:35.201217+00:00,3,2,3,SN-4B02BC-2Y,2025-02,0,1,4.0,15.5,4.0,0.0,0.0,1.0,1.0,4.0,2.0,1.0,Assembly,Packing,600186.0,Assembly,1.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,60.0,60.0,0.0
2025-03-12 09:58:42.056683+00:00,3,2,3,SN-D57F1E-2Y,2025-03,0,1,4.0,209.75,4.0,1.0,0.0,1.0,2.0,4.0,2.0,1.0,Assembly,Packing,804495.0,Assembly,1.0,1.0,839.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,60.0,60.0,0.0
